mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_intercept,param_l1_ratio,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.00859518051147461,0.001742771380864416,0.01119384765625,0.01193328650320753,0.30295109008003185,True,0.6237208683023189,5000,"{'alpha': 0.30295109008003185, 'fit_intercept': True, 'l1_ratio': 0.6237208683023189, 'max_iter': 5000}",0.1394960142753724,0.2077378895075359,0.1442064556237913,0.13916578216363906,0.208857597183425,0.16789274775075275,0.03304060432043703,10
0.009993934631347656,0.0016720589843623411,0.005996847152709961,0.0012644801854375996,0.1734713003788373,False,0.3147396741400956,5000,"{'alpha': 0.1734713003788373, 'fit_intercept': False, 'l1_ratio': 0.3147396741400956, 'max_iter': 5000}",0.25594631182342453,0.2581270579346159,0.19155748664362127,0.19037478457525958,0.29216762014163733,0.23763465222371175,0.04021368035158643,3
0.009394407272338867,0.0028685579100496687,0.006796503067016601,0.002710809043321565,0.5391208075173851,False,0.48054285035661937,5000,"{'alpha': 0.5391208075173851, 'fit_intercept': False, 'l1_ratio': 0.48054285035661937, 'max_iter': 5000}",0.25494768471268137,0.24266784535017294,0.19757171112417926,0.1793632283620077,0.26891635871497566,0.2286933656528034,0.03436418003886433,7
0.007995271682739257,0.0019987107403963843,0.005396842956542969,0.0010196925879176868,0.5907032591448432,True,0.062392023108650774,5000,"{'alpha': 0.5907032591448432, 'fit_intercept': True, 'l1_ratio': 0.062392023108650774, 'max_iter': 5000}",0.19876811417927542,0.25558094976183243,0.19929634485323422,0.18066221641826696,0.2719885401664267,0.22125923307580714,0.03574291393817221,8
0.006995677947998047,0.0006320329126245744,0.005197334289550781,0.0014686010197769211,0.027840646940811675,True,0.7669374216095267,5000,"{'alpha': 0.027840646940811675, 'fit_intercept': True, 'l1_ratio': 0.7669374216095267, 'max_iter': 5000}",0.28678362113486,0.32831968379566223,0.2503817622703911,0.24452494073364406,0.33885768467653776,0.289773538522219,0.03873795545257763,1
0.008794832229614257,0.0009789462723617311,0.0047968864440917965,0.0007481753193403194,0.27621729221724034,False,0.49727400435559255,1000,"{'alpha': 0.27621729221724034, 'fit_intercept': False, 'l1_ratio': 0.49727400435559255, 'max_iter': 1000}",0.2554917581369982,0.2547594256295235,0.19312196908649626,0.18645379632394,0.2835203463442806,0.2346694591042477,0.03814322519204137,5
0.008594942092895509,0.0013553412436127443,0.005196762084960937,0.0011657788179077041,0.34897072491067704,False,0.20055592420909896,10000,"{'alpha': 0.34897072491067704, 'fit_intercept': False, 'l1_ratio': 0.20055592420909896, 'max_iter': 10000}",0.2566529220934223,0.25362638425763206,0.19710798579991118,0.18899428884914504,0.2888152657063775,0.2370393693412976,0.03806155307085957,4
0.007795381546020508,0.0011657788861717546,0.00519709587097168,0.0011652308896245485,0.37499618684662206,False,0.5697350394156255,5000,"{'alpha': 0.37499618684662206, 'fit_intercept': False, 'l1_ratio': 0.5697350394156255, 'max_iter': 5000}",0.25526171388422614,0.25039554197085767,0.1953179507985241,0.18308740039342686,0.2761139053260605,0.23203530247461907,0.03623133683130856,6
0.008594799041748046,0.001853396368030094,0.004797124862670898,0.0007477931076764158,0.9678570434834792,False,0.700910890881042,10000,"{'alpha': 0.9678570434834792, 'fit_intercept': False, 'l1_ratio': 0.700910890881042, 'max_iter': 10000}",0.24525175620424378,0.22577552222051311,0.19825173376163874,0.16310967663232134,0.22891328070262928,0.21226039390426923,0.028845945593342553,9
0.009394121170043946,0.0010191504110538905,0.004397296905517578,0.0004890837770513269,0.13438204004230414,False,0.055131971801620216,1000,"{'alpha': 0.13438204004230414, 'fit_intercept': False, 'l1_ratio': 0.055131971801620216, 'max_iter': 1000}",0.27397382401338355,0.29164506605489926,0.21864819314433726,0.21048075882673511,0.3200507557405048,0.26295971955597197,0.04224002534453717,2
